,Name,Corn,Sorghum,Soybeans,Sunflower,Sweet Corn,Pop or Orn Corn,Winter Wheat,Dbl Crop WinWht/Soybeans,Rye,Oats,Millet,Alfalfa,Other Hay/Non Alfalfa,Dry Beans,Potatoes,Other Crops,Sweet Potatoes,Cucumbers,Sod/Grass Seed,Fallow/Idle Cropland,Peaches,Apples,Grapes,Christmas Trees,Other Tree Crops,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Carrots,Cantaloupes,Dbl Crop WinWht/Corn,Dbl Crop WinWht/Sorghum,Blueberries,Cranberries,Total,Ag,Ag_Prop,Nat,Nat_Prop,Semi_Nat,Semi_Nat_Prop,Dev,Dev_Prop,Other,Other_Prop,Forest_Prop,Total_Nat_Prop,Buffer
0,J1,42,3,21,0,0,65,0,0,0,0,0,0,4,0,0,0,23,0,2,0,1,0,0,0,0,24,432,518,164,58,34,559,544,1039,54,29,3416,46,0,0,0,0,6075,4,13157,6236,0.4739682298396291,5692,0.43262141825644146,29,0.002204149882191989,1206,0.09166223303184616,24,0.0018241240404347496,0.1628030706088014,0.43482556813863343,1500
1,J2,40,5,242,0,0,0,0,7,0,0,0,0,64,0,3,0,0,0,0,1,0,0,0,0,0,758,152,180,26,0,76,203,2995,701,24,75,6873,177,1,0,2,0,614,11,13230,925,0.06991685563114135,11049,0.8351473922902495,75,0.005668934240362812,434,0.0328042328042328,758,0.05729402872260015,0.2947089947089947,0.8408163265306123,1500
2,J3,156,1,16,0,0,50,0,0,0,0,0,0,2,0,0,0,228,3,0,0,2,3,0,0,3,9,324,349,225,64,40,308,1022,1099,27,40,6786,13,0,0,0,0,2394,7,13171,2863,0.21737149798800395,9295,0.7057171057626603,40,0.003036975172727963,1002,0.07607622807683548,9,0.0006833194138637917,0.18442031736390554,0.7087540809353883,1500
3,J4,22,4,164,0,3,0,0,5,4,0,0,2,27,0,1,0,0,0,0,0,0,0,0,0,0,20,379,239,49,0,56,734,957,759,54,94,8716,60,0,0,0,0,920,4,13273,1129,0.08505989602953364,11336,0.8540646425073457,94,0.007082046259323438,723,0.05447148346266858,20,0.00150681835304754,0.18458524824832367,0.8611466887666691,1500
4,J5,107,0,109,0,0,0,6,2,0,0,0,2,19,0,0,0,15,0,0,0,2,0,1,0,0,13,357,451,131,14,322,597,923,1196,98,83,6362,29,0,0,0,0,2294,4,13137,2542,0.1934992768516404,9527,0.725203623353886,83,0.006318033036461902,1275,0.09705412194564969,13,0.00098957143944584,0.2067443099642232,0.7315216563903479,1500
5,J6,346,6,290,2,0,10,11,11,3,0,6,0,8,0,0,576,17,0,0,0,0,0,0,0,0,22,132,236,31,22,548,345,1458,691,145,106,5471,48,0,0,0,0,2587,0,13128,3865,0.29440889701401585,8706,0.6631627056672761,106,0.008074344911639244,969,0.07381170018281535,22,0.0016758074344911638,0.18997562461913467,0.6712370505789154,1500
6,J7,192,7,226,0,2,0,4,10,0,0,8,2,32,0,0,90,127,0,2,0,0,0,0,0,0,827,112,140,196,10,892,767,1403,963,300,219,5663,103,0,0,0,2,800,0,13099,1472,0.11237499045728681,10091,0.7703641499351096,219,0.01671883349874036,1350,0.10306130238949539,827,0.06313459042675014,0.23917856324910297,0.78708298343385,1500
7,J8,24,6,190,0,11,0,0,0,2,0,0,0,38,0,1,0,0,0,1,0,0,0,0,4,0,491,200,242,61,0,56,796,176,297,70,99,8940,149,0,0,0,0,1419,1,13274,1659,0.12498116618954347,10484,0.7898146753051077,99,0.0074581889407865,559,0.04211240018080458,491,0.036989603736628,0.09560042187735422,0.7972728642458943,1500
8,J9,201,15,437,0,7,0,9,5,11,2,0,7,156,0,22,0,2,0,1,0,0,0,0,0,0,27,966,282,38,2,16,1897,1570,2693,45,137,3857,14,46,0,0,0,742,12,13219,1519,0.11491035630531811,10092,0.7634465542022846,137,0.010363870186852258,1304,0.09864588849383463,27,0.0020425145623723428,0.4659959149708753,0.7738104243891368,1500
9,J10,11,0,35,0,5,0,0,0,4,0,0,4,62,0,0,0,0,0,0,0,0,0,0,0,0,52,75,313,43,0,120,247,5200,273,83,160,4226,37,1,0,0,0,2277,5,13233,2342,0.17698178795435654,10186,0.769742310889443,160,0.012090984659563214,551,0.041638328421370815,52,0.0039295700143580446,0.4322527015793849,0.7818332955490063,1500
10,J11,1152,12,389,0,7,0,36,64,36,2,11,83,348,4,57,0,1255,29,47,10,3,20,7,3,1,208,693,713,310,40,74,719,43,240,114,257,1183,119,0,5,0,2,4872,6,13174,8103,0.615075148018825,2492,0.1891604675876727,257,0.019508122058600273,1830,0.13890997419158949,208,0.01578867466221345,0.07605890390162441,0.20866858964627297,1500
11,J12,251,0,106,0,6,0,27,13,11,0,0,0,74,0,0,4,648,1,6,0,0,0,2,0,0,123,976,968,600,86,54,1354,133,634,107,130,3544,70,0,0,0,0,3219,7,13154,4301,0.32697278394404744,5896,0.4482286756880037,130,0.009882925345902387,2684,0.2040443971415539,123,0.009350767827276873,0.1612437281435305,0.4581116010339061,1500
12,J13,37,3,52,0,0,3,2,0,2,0,0,0,11,0,0,9,10,0,0,0,11,0,0,7,0,21,504,407,68,2,18,893,390,919,90,89,5496,38,0,0,0,0,4065,11,13158,4212,0.320109439124487,7844,0.596139230886153,89,0.006763945888432893,999,0.0759233926128591,21,0.0015959872321021432,0.16735066119471045,0.6029031767745858,1500
13,J14,1,0,29,0,0,0,0,2,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,189,4,8,0,0,14,82,509,48,21,35,11694,123,0,0,0,0,391,24,13185,453,0.034357224118316265,12491,0.9473644292756921,35,0.0026545316647705727,26,0.0019719378081152826,189,0.014334470989761093,0.048464163822525594,0.9500189609404627,1500
14,J15,69,3,226,0,0,0,4,14,5,2,0,0,106,0,5,0,0,0,1,0,0,0,0,0,0,232,427,309,45,1,18,308,81,109,26,76,10285,86,1,0,0,0,713,57,13209,1100,0.08327655386478916,10913,0.8261791202967673,76,0.005753652812476342,800,0.06056476644711939,232,0.017563782269664624,0.03770156711333182,0.8319327731092436,1500
